unit,actual_rul,lstm_prediction,ridge_prediction,lstm_error,ridge_error,lstm_absolute_error,ridge_absolute_error,better_model
34,7.0,10.241069,0.0,3.2410689999999995,-7.0,3.2410689999999995,7.0,LSTM
35,11.0,17.043089,21.485443,6.043088999999998,10.485443,6.043088999999998,10.485443,LSTM
36,19.0,31.066216,26.226837,12.066216,7.226837,12.066216,7.226837,Ridge
37,21.0,28.58941,31.299614,7.589410000000001,10.299613999999998,7.589410000000001,10.299613999999998,LSTM
38,50.0,63.09481,65.538124,13.094810000000003,15.538123999999996,13.094810000000003,15.538123999999996,LSTM
39,125.0,120.22374,128.33376,-4.7762599999999935,3.3337600000000123,4.7762599999999935,3.3337600000000123,Ridge
40,28.0,36.99286,46.584625,8.99286,18.584625000000003,8.99286,18.584625000000003,LSTM
41,18.0,25.387619,34.51847,7.387619000000001,16.51847,7.387619000000001,16.51847,LSTM
42,10.0,11.867183,0.0,1.8671830000000007,-10.0,1.8671830000000007,10.0,LSTM
43,59.0,59.227997,77.23249,0.227997000000002,18.23249,0.227997000000002,18.23249,LSTM
44,109.0,115.05743,97.87547,6.0574299999999965,-11.124529999999993,6.0574299999999965,11.124529999999993,LSTM
45,114.0,81.27503,73.08087,-32.72497,-40.919129999999996,32.72497,40.919129999999996,LSTM
46,47.0,40.78796,54.37339,-6.212040000000002,7.3733900000000006,6.212040000000002,7.3733900000000006,LSTM
47,125.0,114.02399,108.385574,-10.976010000000002,-16.614425999999995,10.976010000000002,16.614425999999995,LSTM
48,92.0,109.627785,97.93152,17.627785000000003,5.931520000000006,17.627785000000003,5.931520000000006,Ridge
49,21.0,23.842266,25.39589,2.8422659999999986,4.395890000000001,2.8422659999999986,4.395890000000001,LSTM
50,79.0,84.07357,96.41364,5.073570000000004,17.41364,5.073570000000004,17.41364,LSTM
51,114.0,117.87072,96.40285,3.8707200000000057,-17.59715,3.8707200000000057,17.59715,LSTM
52,29.0,41.004433,43.377605,12.004432999999999,14.377605000000003,12.004432999999999,14.377605000000003,LSTM
53,26.0,37.906715,37.349792,11.906714999999998,11.349792,11.906714999999998,11.349792,Ridge
54,97.0,117.3317,100.1524,20.331699999999998,3.1524,20.331699999999998,3.1524,Ridge
55,125.0,115.06538,112.041145,-9.934619999999995,-12.958855,9.934619999999995,12.958855,LSTM
56,15.0,22.6466,36.253708,7.646599999999999,21.253708000000003,7.646599999999999,21.253708000000003,LSTM
57,103.0,112.51643,99.45689,9.51643,-3.5431099999999986,9.51643,3.5431099999999986,Ridge
58,37.0,42.52742,57.54653,5.527419999999999,20.546529999999997,5.527419999999999,20.546529999999997,LSTM
59,114.0,113.42464,102.64316,-0.5753600000000034,-11.356840000000005,0.5753600000000034,11.356840000000005,LSTM
60,100.0,116.036285,100.11636,16.036285000000007,0.11636000000000024,16.036285000000007,0.11636000000000024,Ridge
61,21.0,25.54414,18.446014,4.544139999999999,-2.5539859999999983,4.544139999999999,2.5539859999999983,Ridge
62,54.0,52.12879,45.856037,-1.8712099999999978,-8.143963,1.8712099999999978,8.143963,LSTM
63,72.0,78.28208,91.993515,6.2820799999999934,19.993515000000002,6.2820799999999934,19.993515000000002,LSTM
64,28.0,27.859304,29.152527,-0.14069599999999838,1.1525269999999992,0.14069599999999838,1.1525269999999992,LSTM
65,125.0,120.010864,120.530685,-4.989136000000002,-4.469314999999995,4.989136000000002,4.469314999999995,Ridge
66,14.0,23.783066,36.92356,9.783066000000002,22.923560000000002,9.783066000000002,22.923560000000002,LSTM
67,77.0,119.47394,111.55588,42.47394,34.55588,42.47394,34.55588,Ridge
68,8.0,14.960579,0.0,6.960578999999999,-8.0,6.960578999999999,8.0,LSTM
69,121.0,119.91973,113.17466,-1.0802699999999987,-7.825339999999997,1.0802699999999987,7.825339999999997,LSTM
70,94.0,108.1959,92.9908,14.195899999999995,-1.009200000000007,14.195899999999995,1.009200000000007,Ridge
71,118.0,115.7445,111.1304,-2.255499999999998,-6.8696000000000055,2.255499999999998,6.8696000000000055,LSTM
72,50.0,76.2323,76.616394,26.232299999999995,26.616394,26.232299999999995,26.616394,LSTM
73,125.0,114.82475,107.87061,-10.175250000000005,-17.12939,10.175250000000005,17.12939,LSTM
74,125.0,113.40317,95.955,-11.596829999999997,-29.045,11.596829999999997,29.045,LSTM
75,113.0,105.318825,100.4414,-7.681174999999996,-12.558599999999998,7.681174999999996,12.558599999999998,LSTM
76,10.0,12.84218,0.0,2.842180000000001,-10.0,2.842180000000001,10.0,LSTM
77,34.0,29.63032,49.477493,-4.369679999999999,15.477493000000003,4.369679999999999,15.477493000000003,LSTM
78,107.0,120.96671,140.1874,13.966710000000006,33.1874,13.966710000000006,33.1874,LSTM
79,63.0,112.404106,92.57232,49.404106,29.572320000000005,49.404106,29.572320000000005,Ridge
80,90.0,109.505714,89.299835,19.505713999999998,-0.7001649999999984,19.505713999999998,0.7001649999999984,Ridge
81,8.0,13.134254,0.0,5.134254,-8.0,5.134254,8.0,LSTM
82,9.0,12.68068,0.0,3.6806800000000006,-9.0,3.6806800000000006,9.0,LSTM
83,125.0,120.10767,127.18412,-4.892330000000001,2.184119999999993,4.892330000000001,2.184119999999993,Ridge
84,58.0,71.8909,76.95627,13.890900000000002,18.956270000000004,13.890900000000002,18.956270000000004,LSTM
85,118.0,119.819046,128.27818,1.8190460000000002,10.278179999999992,1.8190460000000002,10.278179999999992,LSTM
86,89.0,115.468735,103.940125,26.468734999999995,14.940124999999995,26.468734999999995,14.940124999999995,Ridge
87,116.0,116.74813,125.03398,0.7481300000000033,9.03398,0.7481300000000033,9.03398,LSTM
88,115.0,117.03598,108.13304,2.035979999999995,-6.866960000000006,2.035979999999995,6.866960000000006,LSTM
89,125.0,118.114395,105.43601,-6.885604999999998,-19.563990000000004,6.885604999999998,19.563990000000004,LSTM
90,28.0,33.928802,29.973587,5.9288019999999975,1.9735869999999984,5.9288019999999975,1.9735869999999984,Ridge
91,38.0,31.276619,52.089314,-6.723381,14.089314000000002,6.723381,14.089314000000002,LSTM
92,20.0,28.754684,36.546227,8.754684000000001,16.546227000000002,8.754684000000001,16.546227000000002,LSTM
93,85.0,54.78825,64.06754,-30.211750000000002,-20.932460000000006,30.211750000000002,20.932460000000006,Ridge
94,55.0,74.020164,72.33947,19.020163999999994,17.339470000000006,19.020163999999994,17.339470000000006,Ridge
95,125.0,105.64546,105.65919,-19.35454,-19.340810000000005,19.35454,19.340810000000005,Ridge
96,125.0,113.76686,103.31112,-11.233140000000006,-21.688879999999997,11.233140000000006,21.688879999999997,LSTM
97,82.0,78.725296,98.040405,-3.274704,16.040405000000007,3.274704,16.040405000000007,LSTM
98,59.0,69.06576,77.70619,10.065759999999997,18.706190000000007,10.065759999999997,18.706190000000007,LSTM
99,117.0,117.50951,105.18067,0.5095100000000059,-11.819329999999994,0.5095100000000059,11.819329999999994,LSTM
100,20.0,24.603586,16.50962,4.603586,-3.4903799999999983,4.603586,3.4903799999999983,Ridge
