unit,actual_rul,ridge_prediction,lstm_prediction,gru_prediction,transformer_prediction,ensemble_prediction,ridge_error,ridge_absolute_error,lstm_error,lstm_absolute_error,gru_error,gru_absolute_error,transformer_error,transformer_absolute_error,ensemble_error,ensemble_absolute_error,best_model,base_model_prediction_spread
46,47.0,54.37339,40.78796,34.80038,34.39605,37.19541244506836,7.37339,7.37339,-6.21204,6.21204,-12.199619,12.199619,-12.6039505,12.6039505,-9.804587554931643,9.804587554931643,LSTM,19.97734
47,125.0,108.385574,114.02399,108.41257,106.77326,110.65713500976562,-16.614426,16.614426,-10.976013,10.976013,-16.587433,16.587433,-18.226738,18.226738,-14.342864990234375,14.342864990234375,LSTM,7.250725
48,92.0,97.93152,109.627785,111.43998,119.41882,110.71510162353516,5.9315186,5.9315186,17.627785,17.627785,19.43998,19.43998,27.418823,27.418823,18.715101623535162,18.715101623535162,Ridge,21.487305
49,21.0,25.39589,23.842266,16.39044,23.356123,19.371170425415038,4.3958893,4.3958893,2.842266,2.842266,-4.60956,4.60956,2.356123,2.356123,-1.6288295745849624,1.6288295745849624,Ensemble,9.005449
50,79.0,96.41364,84.07357,103.20808,125.0,95.55427398681641,17.413643,17.413643,5.0735703,5.0735703,24.208076,24.208076,46.0,46.0,16.554273986816412,16.554273986816412,LSTM,40.92643
51,114.0,96.40285,117.87072,113.09201,125.0,115.00349426269531,-17.597153,17.597153,3.87072,3.87072,-0.9079895,0.9079895,11.0,11.0,1.0034942626953125,1.0034942626953125,GRU,28.597153
52,29.0,43.377605,41.004433,42.79099,34.694225,42.07636642456055,14.377605,14.377605,12.004433,12.004433,13.790989,13.790989,5.6942253,5.6942253,13.076366424560547,13.076366424560547,Transformer,8.68338
53,26.0,37.349792,37.906715,32.745132,34.07685,34.809765625,11.3497925,11.3497925,11.906715,11.906715,6.7451324,6.7451324,8.076851,8.076851,8.809765624999997,8.809765624999997,GRU,5.161583
54,97.0,100.1524,117.3317,120.92749,113.4687,119.48917541503906,3.1523972,3.1523972,20.331703,20.331703,23.92749,23.92749,16.468697,16.468697,22.489175415039057,22.489175415039057,Ridge,20.775093
55,125.0,112.041145,115.06538,114.45015,120.709206,114.69624023437501,-12.958855,12.958855,-9.934624,9.934624,-10.54985,10.54985,-4.2907944,4.2907944,-10.303759765624989,10.303759765624989,Transformer,8.66806
56,15.0,36.253708,22.6466,18.556652,14.740385,20.19263153076172,21.253708,21.253708,7.6466007,7.6466007,3.556652,3.556652,-0.25961494,0.25961494,5.1926315307617195,5.1926315307617195,Transformer,21.513323
57,103.0,99.45689,112.51643,110.97395,122.28969,111.5909454345703,-3.5431137,3.5431137,9.516434,9.516434,7.9739532,7.9739532,19.289688,19.289688,8.590945434570301,8.590945434570301,Ridge,22.832802
58,37.0,57.54653,42.52742,38.45198,74.09001,40.082156372070315,20.546532,20.546532,5.52742,5.52742,1.4519806,1.4519806,37.09001,37.09001,3.0821563720703153,3.0821563720703153,GRU,35.63803
59,114.0,102.64316,113.42464,116.68298,116.26994,115.37964477539063,-11.356842,11.356842,-0.57536316,0.57536316,2.6829834,2.6829834,2.2699432,2.2699432,1.3796447753906307,1.3796447753906307,LSTM,14.039825
60,100.0,100.11636,116.036285,111.18151,102.06909,113.12342071533203,0.116363525,0.116363525,16.036285,16.036285,11.181511,11.181511,2.0690918,2.0690918,13.123420715332031,13.123420715332031,Ridge,15.919922
61,21.0,18.446014,25.54414,18.300344,20.409864,21.19786262512207,-2.5539856,2.5539856,4.54414,4.54414,-2.6996555,2.6996555,-0.5901356,0.5901356,0.1978626251220703,0.1978626251220703,Ensemble,7.2437954
62,54.0,45.856037,52.12879,43.234993,36.343044,46.792512512207026,-8.143963,8.143963,-1.8712082,1.8712082,-10.765007,10.765007,-17.656956,17.656956,-7.207487487792974,7.207487487792974,LSTM,15.785748
63,72.0,91.993515,78.28208,73.18814,52.535427,75.22571716308593,19.993515,19.993515,6.2820816,6.2820816,1.1881409,1.1881409,-19.464573,19.464573,3.225717163085932,3.225717163085932,GRU,39.458088
64,28.0,29.152527,27.859304,21.138481,33.673717,23.826810455322267,1.1525269,1.1525269,-0.14069557,0.14069557,-6.861519,6.861519,5.6737175,5.6737175,-4.173189544677733,4.173189544677733,LSTM,12.535236
65,125.0,120.530685,120.010864,121.885956,114.090225,121.13591918945312,-4.4693146,4.4693146,-4.9891357,4.9891357,-3.1140442,3.1140442,-10.909775,10.909775,-3.8640808105468807,3.8640808105468807,GRU,7.7957306
66,14.0,36.92356,23.783066,23.683674,18.360628,23.723430633544922,22.923561,22.923561,9.783066,9.783066,9.683674,9.683674,4.360628,4.360628,9.723430633544922,9.723430633544922,Transformer,18.562933
67,77.0,111.55588,119.47394,118.36757,117.292854,118.81011657714845,34.555878,34.555878,42.473938,42.473938,41.36757,41.36757,40.292854,40.292854,41.81011657714845,41.81011657714845,Ridge,7.9180603
68,8.0,0.0,14.960579,8.368096,7.6087613,11.005089378356935,-8.0,8.0,6.960579,6.960579,0.36809635,0.36809635,-0.3912387,0.3912387,3.005089378356935,3.005089378356935,GRU,14.960579
69,121.0,113.17466,119.91973,107.22188,120.25803,112.30101928710937,-7.8253403,7.8253403,-1.0802689,1.0802689,-13.778122,13.778122,-0.74196625,0.74196625,-8.69898071289063,8.69898071289063,Transformer,13.036156
70,94.0,92.9908,108.1959,104.86707,71.61305,106.19860382080077,-1.009201,1.009201,14.1959,14.1959,10.867073,10.867073,-22.386948,22.386948,12.19860382080077,12.19860382080077,Ridge,36.582848
71,118.0,111.1304,115.7445,112.859604,103.64796,114.01356201171876,-6.8695984,6.8695984,-2.2555008,2.2555008,-5.140396,5.140396,-14.352043,14.352043,-3.9864379882812386,3.9864379882812386,LSTM,12.096542
72,50.0,76.616394,76.2323,59.562305,79.672165,66.23030319213868,26.616394,26.616394,26.2323,26.2323,9.562305,9.562305,29.672165,29.672165,16.230303192138678,16.230303192138678,GRU,20.10986
73,125.0,107.87061,114.82475,115.56829,123.241486,115.2708755493164,-17.129387,17.129387,-10.175247,10.175247,-9.431709,9.431709,-1.7585144,1.7585144,-9.7291244506836,9.7291244506836,Transformer,15.3708725
74,125.0,95.955,113.40317,110.161835,63.352184,111.45836791992187,-29.044998,29.044998,-11.596832,11.596832,-14.838165,14.838165,-61.647816,61.647816,-13.54163208007813,13.54163208007813,LSTM,50.050983
75,113.0,100.4414,105.318825,111.083466,105.801636,108.7776092529297,-12.558601,12.558601,-7.681175,7.681175,-1.9165344,1.9165344,-7.1983643,7.1983643,-4.222390747070307,4.222390747070307,GRU,10.642067
76,10.0,0.0,12.84218,9.063161,10.012897,10.574768638610841,-10.0,10.0,2.8421803,2.8421803,-0.9368391,0.9368391,0.012896538,0.012896538,0.5747686386108413,0.5747686386108413,Transformer,12.84218
77,34.0,49.477493,29.63032,22.139748,52.342297,25.13597640991211,15.477493,15.477493,-4.3696804,4.3696804,-11.860252,11.860252,18.342297,18.342297,-8.86402359008789,8.86402359008789,LSTM,30.202549
78,107.0,125.0,120.96671,123.82442,121.109375,122.68133544921875,18.0,18.0,13.966713,13.966713,16.824417,16.824417,14.109375,14.109375,15.68133544921875,15.68133544921875,LSTM,4.033287
79,63.0,92.57232,112.404106,59.267185,113.60159,80.52195358276367,29.572319,29.572319,49.404106,49.404106,-3.7328148,3.7328148,50.601593,50.601593,17.521953582763672,17.521953582763672,GRU,54.334408
80,90.0,89.299835,109.505714,94.31236,56.51663,100.38970336914062,-0.7001648,0.7001648,19.505714,19.505714,4.3123627,4.3123627,-33.48337,33.48337,10.38970336914062,10.38970336914062,Ridge,52.989086
81,8.0,0.0,13.134254,9.798855,7.7248073,11.133014678955078,-8.0,8.0,5.1342545,5.1342545,1.7988548,1.7988548,-0.27519274,0.27519274,3.133014678955078,3.133014678955078,Transformer,13.134254
82,9.0,0.0,12.68068,9.590708,11.527844,10.82669677734375,-9.0,9.0,3.6806803,3.6806803,0.5907078,0.5907078,2.5278444,2.5278444,1.8266967773437504,1.8266967773437504,GRU,12.68068
83,125.0,125.0,120.10767,122.82594,125.0,121.73863525390624,0.0,0.0,-4.8923264,4.8923264,-2.174057,2.174057,0.0,0.0,-3.2613647460937614,3.2613647460937614,Ridge,4.8923264
84,58.0,76.95627,71.8909,66.971054,48.6702,68.93899230957031,18.956268,18.956268,13.8909,13.8909,8.971054,8.971054,-9.3298,9.3298,10.93899230957031,10.93899230957031,GRU,28.286068
85,118.0,125.0,119.819046,114.26608,108.28471,116.48726806640626,7.0,7.0,1.819046,1.819046,-3.7339172,3.7339172,-9.715286,9.715286,-1.5127319335937415,1.5127319335937415,Ensemble,16.715286
86,89.0,103.940125,115.468735,115.92168,80.729965,115.7404998779297,14.9401245,14.9401245,26.468735,26.468735,26.921677,26.921677,-8.270035,8.270035,26.740499877929693,26.740499877929693,Transformer,35.19171
87,116.0,125.0,116.74813,119.25319,117.50398,118.25116577148438,9.0,9.0,0.7481308,0.7481308,3.253189,3.253189,1.5039825,1.5039825,2.2511657714843807,2.2511657714843807,LSTM,8.251869
88,115.0,108.13304,117.03598,111.22179,107.05394,113.5474639892578,-6.8669586,6.8669586,2.0359802,2.0359802,-3.7782135,3.7782135,-7.94606,7.94606,-1.4525360107421932,1.4525360107421932,Ensemble,9.98204
89,125.0,105.43601,118.114395,113.24616,116.40489,115.19345550537109,-19.563988,19.563988,-6.885605,6.885605,-11.753838,11.753838,-8.595108,8.595108,-9.806544494628909,9.806544494628909,LSTM,12.678383
90,28.0,29.973587,33.928802,24.477121,32.44015,28.257793807983397,1.973587,1.973587,5.9288025,5.9288025,-3.5228786,3.5228786,4.440151,4.440151,0.257793807983397,0.257793807983397,Ensemble,9.451681
91,38.0,52.089314,31.276619,27.78471,20.041887,29.181473541259766,14.0893135,14.0893135,-6.723381,6.723381,-10.21529,10.21529,-17.958113,17.958113,-8.818526458740234,8.818526458740234,LSTM,32.047424
92,20.0,36.546227,28.754684,21.210155,21.496962,24.227967071533204,16.546227,16.546227,8.754684,8.754684,1.2101555,1.2101555,1.4969616,1.4969616,4.227967071533204,4.227967071533204,GRU,15.336071
93,85.0,64.06754,54.78825,43.344982,39.87359,47.92228927612305,-20.932457,20.932457,-30.21175,30.21175,-41.655018,41.655018,-45.12641,45.12641,-37.07771072387695,37.07771072387695,Ridge,24.193954
94,55.0,72.33947,74.020164,67.42641,90.12099,70.06390991210938,17.33947,17.33947,19.020164,19.020164,12.426407,12.426407,35.120987,35.120987,15.06390991210938,15.06390991210938,GRU,22.69458
95,125.0,105.65919,105.64546,101.512535,113.83432,103.16570587158203,-19.340813,19.340813,-19.354538,19.354538,-23.487465,23.487465,-11.16568,11.16568,-21.834294128417966,21.834294128417966,Transformer,12.321785
96,125.0,103.31112,113.76686,114.98872,115.87456,114.4999786376953,-21.68888,21.68888,-11.233139,11.233139,-10.011276,10.011276,-9.1254425,9.1254425,-10.500021362304693,10.500021362304693,Transformer,12.563438
97,82.0,98.040405,78.725296,82.13143,92.665344,80.76897735595703,16.040405,16.040405,-3.274704,3.274704,0.13143158,0.13143158,10.665344,10.665344,-1.231022644042966,1.231022644042966,GRU,19.31511
98,59.0,77.70619,69.06576,62.906403,75.64386,65.37014465332031,18.706192,18.706192,10.065758,10.065758,3.9064026,3.9064026,16.64386,16.64386,6.37014465332031,6.37014465332031,GRU,14.799789
99,117.0,105.18067,117.50951,120.47765,122.17736,119.29039459228515,-11.819328,11.819328,0.5095062,0.5095062,3.4776535,3.4776535,5.1773605,5.1773605,2.2903945922851534,2.2903945922851534,LSTM,16.996689
100,20.0,16.50962,24.603586,23.276848,22.705383,23.807543182373045,-3.4903793,3.4903793,4.603586,4.603586,3.2768478,3.2768478,2.7053833,2.7053833,3.8075431823730455,3.8075431823730455,Transformer,8.093966
