unit,actual_rul,predicted_rul_mean,predicted_rul_median,mc_standard_deviation,raw_percentile_05,raw_percentile_95,calibrated_lower_bound,calibrated_upper_bound,interval_width,prediction_error,absolute_error,confidence,health_status,recommendation,actual_inside_interval
22,111.0,108.81110382080078,109.46376037597656,15.527571678161621,77.85587310791016,125.0,86.12670135498047,125.0,38.87329864501953,-2.1888961791992188,2.1888961791992188,Low,Healthy,Manual review required,True
23,113.0,114.99488067626953,121.1181640625,13.183862686157227,88.92630767822266,125.0,95.52726745605469,125.0,29.472732543945312,1.9948806762695312,1.9948806762695312,Low,Healthy,Manual review required,True
24,20.0,22.834665298461914,23.11785888671875,6.048800468444824,12.728530883789062,32.19248580932617,13.160054206848145,32.50927734375,19.349224090576172,2.834665298461914,2.834665298461914,Medium,Warning,Immediate inspection recommended,True
25,125.0,103.980224609375,104.02902221679688,15.111771583557129,80.85843658447266,125.0,81.86651611328125,125.0,43.13348388671875,-21.019775390625,21.019775390625,Low,Healthy,Manual review required,True
26,119.0,113.10624694824219,116.65521240234375,11.863445281982422,89.19783020019531,125.0,95.450927734375,125.0,29.549072265625,-5.8937530517578125,5.8937530517578125,Low,Healthy,Manual review required,True
27,66.0,78.90569305419922,78.5583267211914,16.722312927246094,53.1773567199707,109.28901672363281,54.581485748291016,103.22990417480469,48.64841842651367,12.905693054199219,12.905693054199219,Low,Monitor,Manual review required,True
28,97.0,108.86508178710938,109.86382293701172,17.667285919189453,77.35248565673828,125.0,83.24388122558594,125.0,41.75611877441406,11.865081787109375,11.865081787109375,Low,Healthy,Manual review required,True
29,90.0,98.36717987060547,101.55608367919922,17.468727111816406,68.6015625,125.0,73.01850891113281,123.71585083007812,50.69734191894531,8.367179870605469,8.367179870605469,Low,Healthy,Manual review required,True
30,115.0,96.13374328613281,96.78938293457031,17.751689910888672,66.7551498413086,124.60652923583984,70.39669799804688,121.87078857421875,51.474090576171875,-18.866256713867188,18.866256713867188,Low,Healthy,Manual review required,True
31,8.0,10.963146209716797,10.179893493652344,5.578018665313721,4.038243293762207,21.626455307006836,1.9346923828125,19.991600036621094,18.056907653808594,2.963146209716797,2.963146209716797,Medium,Critical,Immediate inspection recommended,True
32,48.0,60.984161376953125,60.3393440246582,9.237882614135742,45.2375602722168,77.57405853271484,46.93247604370117,75.03585052490234,28.103374481201172,12.984161376953125,12.984161376953125,Medium,Monitor,Increase monitoring frequency,True
33,106.0,109.11275482177734,109.53594207763672,15.797381401062012,86.17122650146484,125.0,86.05802917480469,125.0,38.94197082519531,3.1127548217773438,3.1127548217773438,Low,Healthy,Manual review required,True
34,7.0,8.733978271484375,8.169742584228516,3.750410318374634,4.344315528869629,15.232162475585938,2.2139511108398438,15.254005432128906,13.040054321289062,1.733978271484375,1.733978271484375,High,Critical,Immediate inspection recommended,True
35,11.0,13.591411590576172,12.88833999633789,6.3760786056518555,4.5249247550964355,24.48904800415039,3.4676055908203125,23.71521759033203,20.24761199951172,2.591411590576172,2.591411590576172,Medium,Critical,Immediate inspection recommended,True
36,19.0,23.780916213989258,23.141225814819336,7.333920478820801,14.58930778503418,35.115081787109375,12.342453956604004,35.21937942504883,22.87692642211914,4.780916213989258,4.780916213989258,Medium,Warning,Immediate inspection recommended,True
37,21.0,36.76628494262695,37.658775329589844,6.7829766273498535,25.81717872619629,46.87474822998047,26.084003448486328,47.44856643676758,21.36456298828125,15.766284942626953,15.766284942626953,Medium,Warning,Plan maintenance soon,False
38,50.0,52.46101379394531,50.81645584106445,13.412077903747559,33.708553314208984,75.93013000488281,32.68016815185547,72.24185943603516,39.56169128417969,2.4610137939453125,2.4610137939453125,Low,Monitor,Manual review required,True
39,125.0,114.5934829711914,121.61355590820312,13.911111831665039,90.3927001953125,125.0,94.12770080566406,125.0,30.872299194335938,-10.406517028808594,10.406517028808594,Low,Healthy,Manual review required,True
40,28.0,28.903949737548828,28.307880401611328,6.2409257888793945,19.09607696533203,39.71747970581055,18.96564292907715,38.842254638671875,19.876611709594727,0.9039497375488281,0.9039497375488281,Medium,Warning,Immediate inspection recommended,True
41,18.0,30.652271270751953,30.114425659179688,6.054852485656738,20.50881576538086,41.27842712402344,20.96935272216797,40.33518981933594,19.36583709716797,12.652271270751953,12.652271270751953,Medium,Warning,Plan maintenance soon,False
42,10.0,11.815329551696777,11.058300018310547,4.19409704208374,6.937854290008545,20.453481674194336,4.686333656311035,18.944324493408203,14.257990837097168,1.8153295516967773,1.8153295516967773,High,Critical,Immediate inspection recommended,True
43,59.0,66.17779541015625,67.55357360839844,14.996514320373535,41.51874542236328,88.59400177001953,44.2222785949707,88.13331604003906,43.91103744506836,7.17779541015625,7.17779541015625,Low,Monitor,Manual review required,True
44,109.0,110.15768432617188,111.5548095703125,15.102372169494629,83.78082275390625,125.0,88.05687713623047,125.0,36.94312286376953,1.157684326171875,1.157684326171875,Low,Healthy,Manual review required,True
45,114.0,64.61746978759766,64.0001449584961,13.475433349609375,45.66762161254883,88.58799743652344,44.749664306640625,84.48527526855469,39.73561096191406,-49.382530212402344,49.382530212402344,Low,Monitor,Manual review required,False
46,47.0,37.44493103027344,37.045448303222656,7.337220668792725,25.86103057861328,47.8699951171875,26.001937866210938,48.88792419433594,22.885986328125,-9.555068969726562,9.555068969726562,Medium,Warning,Plan maintenance soon,True
47,125.0,106.46173095703125,107.8874282836914,17.163745880126953,75.4578628540039,125.0,81.53164672851562,125.0,43.468353271484375,-18.53826904296875,18.53826904296875,Low,Healthy,Manual review required,True
48,92.0,105.78683471679688,110.84111785888672,18.203575134277344,66.57115173339844,125.0,79.4295654296875,125.0,45.5704345703125,13.786834716796875,13.786834716796875,Low,Healthy,Manual review required,True
49,21.0,15.826164245605469,14.742767333984375,6.651127815246582,7.742738723754883,26.508373260498047,5.324847221374512,26.32748031616211,21.00263214111328,-5.173835754394531,5.173835754394531,Medium,Critical,Immediate inspection recommended,True
50,79.0,105.00215911865234,106.14276123046875,15.940132141113281,76.20365905761719,125.0,81.75151062011719,125.0,43.24848937988281,26.002159118652344,26.002159118652344,Low,Healthy,Manual review required,False
51,114.0,108.67172241210938,109.95281982421875,15.432731628417969,78.66026306152344,125.0,86.11749267578125,125.0,38.88250732421875,-5.328277587890625,5.328277587890625,Low,Healthy,Manual review required,True
52,29.0,40.25337219238281,40.835655212402344,9.954425811767578,24.159696578979492,54.84717559814453,25.218215942382812,55.28852844238281,30.0703125,11.253372192382812,11.253372192382812,Medium,Warning,Plan maintenance soon,True
53,26.0,31.330245971679688,31.585134506225586,7.095365047454834,20.241695404052734,42.883785247802734,20.21920394897461,42.441287994384766,22.222084045410156,5.3302459716796875,5.3302459716796875,Medium,Warning,Plan maintenance soon,True
54,97.0,114.03466033935547,121.612060546875,14.59324836730957,79.28924560546875,125.0,92.63262939453125,125.0,32.36737060546875,17.03466033935547,17.03466033935547,Low,Healthy,Manual review required,True
55,125.0,112.51029205322266,115.86104583740234,13.151386260986328,88.00743865966797,125.0,93.08724975585938,125.0,31.912750244140625,-12.489707946777344,12.489707946777344,Low,Healthy,Manual review required,True
56,15.0,14.938157081604004,13.706296920776367,7.908380031585693,5.899200439453125,30.30414581298828,2.711237907409668,27.165077209472656,24.453838348388672,-0.061842918395996094,0.061842918395996094,Medium,Critical,Immediate inspection recommended,True
57,103.0,104.9174575805664,107.2135009765625,17.5892276763916,75.10122680664062,125.0,79.40339660644531,125.0,45.59660339355469,1.9174575805664062,1.9174575805664062,Low,Healthy,Manual review required,True
58,37.0,39.8781623840332,39.55901336669922,9.411840438842773,24.20833396911621,55.160499572753906,25.58771514892578,54.168609619140625,28.580894470214844,2.878162384033203,2.878162384033203,Medium,Warning,Plan maintenance soon,True
59,114.0,111.7665023803711,117.59634399414062,14.885224342346191,85.93355560302734,125.0,89.96372985839844,125.0,35.03627014160156,-2.2334976196289062,2.2334976196289062,Low,Healthy,Manual review required,True
60,100.0,108.91157531738281,108.7758560180664,14.359947204589844,77.67991638183594,125.0,87.82975769042969,125.0,37.17024230957031,8.911575317382812,8.911575317382812,Low,Healthy,Manual review required,True
61,21.0,20.46000862121582,19.776050567626953,4.623403072357178,14.383703231811523,30.359962463378906,12.741782188415527,28.178234100341797,15.43645191192627,-0.5399913787841797,0.5399913787841797,High,Warning,Immediate inspection recommended,True
62,54.0,48.10026931762695,48.16590118408203,8.370471954345703,32.8948860168457,59.95466613769531,35.23912048339844,60.96141815185547,25.72229766845703,-5.899730682373047,5.899730682373047,Medium,Warning,Plan maintenance soon,True
63,72.0,72.71502685546875,71.96730041503906,13.181394577026367,53.98143005371094,92.91439819335938,53.250797271728516,92.17926025390625,38.928462982177734,0.71502685546875,0.71502685546875,Low,Monitor,Manual review required,True
64,28.0,23.099302291870117,22.384567260742188,5.476573944091797,15.654350280761719,33.019134521484375,14.2100830078125,31.988521575927734,17.778438568115234,-4.900697708129883,4.900697708129883,Medium,Warning,Immediate inspection recommended,True
65,125.0,116.46438598632812,122.30598449707031,10.88325023651123,91.8282470703125,125.0,100.15440368652344,125.0,24.845596313476562,-8.535614013671875,8.535614013671875,Low,Healthy,Manual review required,True
66,14.0,22.237403869628906,21.76313018798828,6.664867401123047,12.0776948928833,34.63160705566406,11.717229843139648,32.75757598876953,21.040346145629883,8.237403869628906,8.237403869628906,Medium,Warning,Immediate inspection recommended,True
67,77.0,114.56389617919922,119.90922546386719,12.292606353759766,88.80716705322266,125.0,96.31954193115234,125.0,28.680458068847656,37.56389617919922,37.56389617919922,Low,Healthy,Manual review required,False
68,8.0,9.933022499084473,9.083866119384766,4.782299518585205,4.451519966125488,17.271711349487305,1.9967079162597656,17.86933708190918,15.872629165649414,1.9330224990844727,1.9330224990844727,High,Critical,Immediate inspection recommended,True
69,121.0,106.24646759033203,109.7784652709961,18.944915771484375,64.9822006225586,125.0,78.87169647216797,125.0,46.12830352783203,-14.753532409667969,14.753532409667969,Low,Healthy,Manual review required,True
70,94.0,103.1984634399414,106.10845184326172,17.495288848876953,71.86809539794922,125.0,77.8133316040039,125.0,47.186668395996094,9.198463439941406,9.198463439941406,Low,Healthy,Manual review required,True
71,118.0,109.85456848144531,113.47503662109375,14.890111923217773,81.17070007324219,125.0,88.04508972167969,125.0,36.95491027832031,-8.145431518554688,8.145431518554688,Low,Healthy,Manual review required,True
72,50.0,60.87736892700195,59.84217071533203,10.274758338928223,46.1422233581543,78.4821548461914,45.402549743652344,76.35218811035156,30.94963836669922,10.877368927001953,10.877368927001953,Low,Monitor,Manual review required,True
73,125.0,113.05455017089844,117.75940704345703,12.998543739318848,88.17411804199219,125.0,93.8412857055664,125.0,31.158714294433594,-11.945449829101562,11.945449829101562,Low,Healthy,Manual review required,True
74,125.0,107.16191101074219,107.56770324707031,15.881146430969238,77.8083267211914,125.0,83.99221801757812,125.0,41.007781982421875,-17.838088989257812,17.838088989257812,Low,Healthy,Manual review required,True
75,113.0,108.5825424194336,112.73277282714844,16.902339935302734,81.04242706298828,125.0,84.01124572753906,125.0,40.98875427246094,-4.417457580566406,4.417457580566406,Low,Healthy,Manual review required,True
76,10.0,10.2434720993042,9.69295883178711,4.302578449249268,4.843935966491699,19.003498077392578,2.9655838012695312,17.521360397338867,14.555776596069336,0.24347209930419922,0.24347209930419922,High,Critical,Immediate inspection recommended,True
77,34.0,23.746543884277344,22.95262336730957,6.144603252410889,15.17125415802002,33.82549285888672,13.940442085266113,33.55264663696289,19.612205505371094,-10.253456115722656,10.253456115722656,Medium,Warning,Immediate inspection recommended,False
78,107.0,116.1221694946289,123.50354766845703,12.201011657714844,92.1589126586914,125.0,98.00353240966797,125.0,26.99646759033203,9.122169494628906,9.122169494628906,Low,Healthy,Manual review required,True
79,63.0,81.47805786132812,77.07054138183594,21.911800384521484,49.486873626708984,122.57644653320312,50.03118133544922,112.92493438720703,62.89375305175781,18.478057861328125,18.478057861328125,Low,Healthy,Manual review required,True
80,90.0,90.61485290527344,89.82410430908203,15.511921882629395,65.32371520996094,115.24788665771484,67.95193481445312,113.27777099609375,45.325836181640625,0.6148529052734375,0.6148529052734375,Low,Healthy,Manual review required,True
81,8.0,9.568465232849121,8.295677185058594,4.989109039306641,3.7856922149658203,21.3541202545166,1.3483009338378906,17.78862953186035,16.44032859802246,1.568465232849121,1.568465232849121,High,Critical,Immediate inspection recommended,True
82,9.0,10.554387092590332,10.058639526367188,3.656017303466797,5.722144603729248,17.853897094726562,4.163916110992432,16.94485855102539,12.780942916870117,1.554387092590332,1.554387092590332,High,Critical,Immediate inspection recommended,True
83,125.0,117.55065155029297,123.0613021850586,11.108460426330566,92.28623962402344,125.0,100.93156433105469,125.0,24.068435668945312,-7.449348449707031,7.449348449707031,Low,Healthy,Manual review required,True
84,58.0,65.79792785644531,65.48223876953125,15.420119285583496,42.14402389526367,93.80519104003906,43.26100540161133,88.33485412597656,45.073848724365234,7.7979278564453125,7.7979278564453125,Low,Monitor,Manual review required,True
85,118.0,111.40779113769531,111.28105163574219,14.374398231506348,79.63487243652344,125.0,90.30613708496094,125.0,34.69386291503906,-6.5922088623046875,6.5922088623046875,Low,Healthy,Manual review required,True
86,89.0,112.83203887939453,117.9474868774414,13.98923110961914,84.8794937133789,125.0,92.259033203125,125.0,32.740966796875,23.83203887939453,23.83203887939453,Low,Healthy,Manual review required,False
87,116.0,115.14362335205078,120.69080352783203,13.066366195678711,88.6568603515625,125.0,95.83727264404297,125.0,29.16272735595703,-0.8563766479492188,0.8563766479492188,Low,Healthy,Manual review required,True
88,115.0,107.97561645507812,108.55712890625,15.979601860046387,76.35771179199219,125.0,84.67079162597656,125.0,40.32920837402344,-7.024383544921875,7.024383544921875,Low,Healthy,Manual review required,True
89,125.0,112.0966796875,111.31057739257812,14.530625343322754,89.80150604248047,125.0,90.78060913085938,125.0,34.219390869140625,-12.9033203125,12.9033203125,Low,Healthy,Manual review required,True
90,28.0,27.57733154296875,25.71227264404297,8.421329498291016,17.7027645111084,43.42787170410156,14.646379470825195,40.50828552246094,25.861906051635742,-0.42266845703125,0.42266845703125,Medium,Warning,Immediate inspection recommended,True
91,38.0,25.529003143310547,24.596920013427734,7.821691036224365,14.886222839355469,37.5151481628418,13.421066284179688,37.636940002441406,24.21587371826172,-12.470996856689453,12.470996856689453,Medium,Warning,Immediate inspection recommended,False
92,20.0,19.660903930664062,18.77548599243164,7.717895030975342,9.078592300415039,30.830591201782227,7.695428848266602,31.626379013061523,23.930950164794922,-0.3390960693359375,0.3390960693359375,Medium,Critical,Immediate inspection recommended,True
93,85.0,43.259521484375,42.143096923828125,10.597509384155273,27.288387298583984,62.29775619506836,27.34172248840332,59.17732238769531,31.835599899291992,-41.740478515625,41.740478515625,Low,Warning,Plan maintenance soon,False
94,55.0,68.85102844238281,67.22618103027344,14.309904098510742,46.3475456237793,94.30744934082031,47.83789825439453,89.8641586303711,42.02626037597656,13.851028442382812,13.851028442382812,Low,Monitor,Manual review required,True
95,125.0,102.54582214355469,104.38187408447266,16.97745132446289,72.73943328857422,125.0,77.87142944335938,125.0,47.128570556640625,-22.454177856445312,22.454177856445312,Low,Healthy,Manual review required,True
96,125.0,107.70770263671875,114.84359741210938,18.59708023071289,69.62255859375,125.0,80.81034088134766,125.0,44.189659118652344,-17.29229736328125,17.29229736328125,Low,Healthy,Manual review required,True
97,82.0,85.62064361572266,85.98637390136719,15.580453872680664,61.85092544555664,105.22749328613281,62.8636589050293,108.37762451171875,45.51396560668945,3.6206436157226562,3.6206436157226562,Low,Healthy,Manual review required,True
98,59.0,68.70337677001953,67.93240356445312,17.100482940673828,44.16569519042969,105.96997833251953,43.86012268066406,93.546630859375,49.68650817871094,9.703376770019531,9.703376770019531,Low,Monitor,Manual review required,True
99,117.0,114.20671844482422,120.18328857421875,13.200207710266113,88.0422592163086,125.0,94.71666717529297,125.0,30.28333282470703,-2.7932815551757812,2.7932815551757812,Low,Healthy,Manual review required,True
100,20.0,22.513689041137695,21.664051055908203,6.555214881896973,13.735363960266113,33.37657165527344,12.144014358520508,32.88336181640625,20.739347457885742,2.5136890411376953,2.5136890411376953,Medium,Warning,Immediate inspection recommended,True
