unit,actual_rul,ridge_prediction,lstm_prediction,gru_prediction,transformer_prediction,ensemble_prediction,ridge_error,ridge_absolute_error,lstm_error,lstm_absolute_error,gru_error,gru_absolute_error,transformer_error,transformer_absolute_error,ensemble_error,ensemble_absolute_error,best_model,model_prediction_spread
46,47.0,54.37339,40.78796,34.80038,34.39605,37.47457485198974,7.37339,7.37339,-6.21204,6.21204,-12.199619,12.199619,-12.6039505,12.6039505,-9.525425148010257,9.525425148010257,LSTM,19.977340698242188
47,125.0,108.385574,114.02399,108.41257,106.77326,110.85574073791504,-16.614426,16.614426,-10.976013,10.976013,-16.587433,16.587433,-18.226738,18.226738,-14.144259262084958,14.144259262084958,LSTM,7.250724792480469
48,92.0,97.93152,109.627785,111.43998,119.41882,111.02343406677247,5.9315186,5.9315186,17.627785,17.627785,19.43998,19.43998,27.418823,27.418823,19.023434066772467,19.023434066772467,Ridge,21.4873046875
49,21.0,25.39589,23.842266,16.39044,23.356123,20.092045879364015,4.3958893,4.3958893,2.842266,2.842266,-4.60956,4.60956,2.356123,2.356123,-0.9079541206359849,0.9079541206359849,Ensemble,9.005449295043945
50,79.0,96.41364,84.07357,103.20808,125.0,95.68714485168456,17.413643,17.413643,5.0735703,5.0735703,24.208076,24.208076,46.0,46.0,16.687144851684565,16.687144851684565,LSTM,40.926429748535156
51,114.0,96.40285,117.87072,113.09201,125.0,115.83782920837402,-17.597153,17.597153,3.87072,3.87072,-0.9079895,0.9079895,11.0,11.0,1.8378292083740178,1.8378292083740178,GRU,28.597152709960938
52,29.0,43.377605,41.004433,42.79099,34.694225,41.582200431823736,14.377605,14.377605,12.004433,12.004433,13.790989,13.790989,5.6942253,5.6942253,12.582200431823736,12.582200431823736,Transformer,8.683380126953125
53,26.0,37.349792,37.906715,32.745132,34.07685,35.134430694580075,11.3497925,11.3497925,11.906715,11.906715,6.7451324,6.7451324,8.076851,8.076851,9.134430694580075,9.134430694580075,GRU,5.161582946777344
54,97.0,100.1524,117.3317,120.92749,113.4687,118.93644638061524,3.1523972,3.1523972,20.331703,20.331703,23.92749,23.92749,16.468697,16.468697,21.936446380615237,21.936446380615237,Ridge,20.77509307861328
55,125.0,112.041145,115.06538,114.45015,120.709206,115.0399543762207,-12.958855,12.958855,-9.934624,9.934624,-10.54985,10.54985,-4.2907944,4.2907944,-9.960045623779294,9.960045623779294,Transformer,8.668060302734375
56,15.0,36.253708,22.6466,18.556652,14.740385,20.20631561279297,21.253708,21.253708,7.6466007,7.6466007,3.556652,3.556652,-0.25961494,0.25961494,5.20631561279297,5.20631561279297,Transformer,21.513322830200195
57,103.0,99.45689,112.51643,110.97395,122.28969,112.23385620117188,-3.5431137,3.5431137,9.516434,9.516434,7.9739532,7.9739532,19.289688,19.289688,9.233856201171875,9.233856201171875,Ridge,22.832801818847656
58,37.0,57.54653,42.52742,38.45198,74.09001,42.067829895019536,20.546532,20.546532,5.52742,5.52742,1.4519806,1.4519806,37.09001,37.09001,5.0678298950195355,5.0678298950195355,GRU,35.638031005859375
59,114.0,102.64316,113.42464,116.68298,116.26994,115.19607543945312,-11.356842,11.356842,-0.57536316,0.57536316,2.6829834,2.6829834,2.2699432,2.2699432,1.196075439453125,1.196075439453125,LSTM,14.039825439453125
60,100.0,100.11636,116.036285,111.18151,102.06909,112.91053848266603,0.116363525,0.116363525,16.036285,16.036285,11.181511,11.181511,2.0690918,2.0690918,12.910538482666027,12.910538482666027,Ridge,15.919921875
61,21.0,18.446014,25.54414,18.300344,20.409864,21.66552839279175,-2.5539856,2.5539856,4.54414,4.54414,-2.6996555,2.6996555,-0.5901356,0.5901356,0.6655283927917495,0.6655283927917495,Transformer,7.243795394897461
62,54.0,45.856037,52.12879,43.234993,36.343044,46.892605018615725,-8.143963,8.143963,-1.8712082,1.8712082,-10.765007,10.765007,-17.656956,17.656956,-7.1073949813842745,7.1073949813842745,LSTM,15.785747528076172
63,72.0,91.993515,78.28208,73.18814,52.535427,74.44777851104736,19.993515,19.993515,6.2820816,6.2820816,1.1881409,1.1881409,-19.464573,19.464573,2.4477785110473604,2.4477785110473604,GRU,39.45808792114258
64,28.0,29.152527,27.859304,21.138481,33.673717,24.789613437652587,1.1525269,1.1525269,-0.14069557,0.14069557,-6.861519,6.861519,5.6737175,5.6737175,-3.210386562347413,3.210386562347413,LSTM,12.535236358642578
65,125.0,120.530685,120.010864,121.885956,114.090225,120.65237808227539,-4.4693146,4.4693146,-4.9891357,4.9891357,-3.1140442,3.1140442,-10.909775,10.909775,-4.347621917724609,4.347621917724609,GRU,7.7957305908203125
66,14.0,36.92356,23.783066,23.683674,18.360628,23.462247943878175,22.923561,22.923561,9.783066,9.783066,9.683674,9.683674,4.360628,4.360628,9.462247943878175,9.462247943878175,Transformer,18.56293296813965
67,77.0,111.55588,119.47394,118.36757,117.292854,118.81169929504395,34.555878,34.555878,42.473938,42.473938,41.36757,41.36757,40.292854,40.292854,41.81169929504395,41.81169929504395,Ridge,7.918060302734375
68,8.0,0.0,14.960579,8.368096,7.6087613,11.2967467546463,-8.0,8.0,6.960579,6.960579,0.36809635,0.36809635,-0.3912387,0.3912387,3.2967467546463,3.2967467546463,GRU,14.960578918457031
69,121.0,113.17466,119.91973,107.22188,120.25803,113.5877197265625,-7.8253403,7.8253403,-1.0802689,1.0802689,-13.778122,13.778122,-0.74196625,0.74196625,-7.412280273437503,7.412280273437503,Transformer,13.036155700683594
70,94.0,92.9908,108.1959,104.86707,71.61305,104.70234413146973,-1.009201,1.009201,14.1959,14.1959,10.867073,10.867073,-22.386948,22.386948,10.70234413146973,10.70234413146973,Ridge,36.582847595214844
71,118.0,111.1304,115.7445,112.859604,103.64796,113.69722442626954,-6.8695984,6.8695984,-2.2555008,2.2555008,-5.140396,5.140396,-14.352043,14.352043,-4.302775573730457,4.302775573730457,LSTM,12.096542358398438
72,50.0,76.616394,76.2323,59.562305,79.672165,68.06929588317871,26.616394,26.616394,26.2323,26.2323,9.562305,9.562305,29.672165,29.672165,18.06929588317871,18.06929588317871,GRU,20.109859466552734
73,125.0,107.87061,114.82475,115.56829,123.241486,115.6173583984375,-17.129387,17.129387,-10.175247,10.175247,-9.431709,9.431709,-1.7585144,1.7585144,-9.382641601562497,9.382641601562497,Transformer,15.370872497558594
74,125.0,95.955,113.40317,110.161835,63.352184,109.27995204925537,-29.044998,29.044998,-11.596832,11.596832,-14.838165,14.838165,-61.647816,61.647816,-15.720047950744629,15.720047950744629,LSTM,50.05098342895508
75,113.0,100.4414,105.318825,111.083466,105.801636,108.2252857208252,-12.558601,12.558601,-7.681175,7.681175,-1.9165344,1.9165344,-7.1983643,7.1983643,-4.774714279174802,4.774714279174802,GRU,10.642066955566406
76,10.0,0.0,12.84218,9.063161,10.012897,10.811206388473511,-10.0,10.0,2.8421803,2.8421803,-0.9368391,0.9368391,0.012896538,0.012896538,0.8112063884735115,0.8112063884735115,Transformer,12.842180252075195
77,34.0,49.477493,29.63032,22.139748,52.342297,27.020632457733157,15.477493,15.477493,-4.3696804,4.3696804,-11.860252,11.860252,18.342297,18.342297,-6.979367542266843,6.979367542266843,LSTM,30.20254898071289
78,107.0,125.0,120.96671,123.82442,121.109375,122.40269813537597,18.0,18.0,13.966713,13.966713,16.824417,16.824417,14.109375,14.109375,15.40269813537597,15.40269813537597,LSTM,4.033287048339844
79,63.0,92.57232,112.404106,59.267185,113.60159,85.89552001953126,29.572319,29.572319,49.404106,49.404106,-3.7328148,3.7328148,50.601593,50.601593,22.89552001953126,22.89552001953126,GRU,54.334407806396484
80,90.0,89.299835,109.505714,94.31236,56.51663,99.25958423614503,-0.7001648,0.7001648,19.505714,19.505714,4.3123627,4.3123627,-33.48337,33.48337,9.259584236145031,9.259584236145031,Ridge,52.98908615112305
81,8.0,0.0,13.134254,9.798855,7.7248073,11.196082282066346,-8.0,8.0,5.1342545,5.1342545,1.7988548,1.7988548,-0.27519274,0.27519274,3.196082282066346,3.196082282066346,Transformer,13.134254455566406
82,9.0,0.0,12.68068,9.590708,11.527844,11.078052234649657,-9.0,9.0,3.6806803,3.6806803,0.5907078,0.5907078,2.5278444,2.5278444,2.0780522346496575,2.0780522346496575,GRU,12.680680274963379
83,125.0,125.0,120.10767,122.82594,125.0,121.71142463684083,0.0,0.0,-4.8923264,4.8923264,-2.174057,2.174057,0.0,0.0,-3.2885753631591683,3.2885753631591683,Ridge,4.892326354980469
84,58.0,76.95627,71.8909,66.971054,48.6702,68.26994190216064,18.956268,18.956268,13.8909,13.8909,8.971054,8.971054,-9.3298,9.3298,10.269941902160639,10.269941902160639,GRU,28.286067962646484
85,118.0,125.0,119.819046,114.26608,108.28471,116.46584777832032,7.0,7.0,1.819046,1.819046,-3.7339172,3.7339172,-9.715286,9.715286,-1.5341522216796761,1.5341522216796761,Ensemble,16.715286254882812
86,89.0,103.940125,115.468735,115.92168,80.729965,113.95826721191406,14.9401245,14.9401245,26.468735,26.468735,26.921677,26.921677,-8.270035,8.270035,24.958267211914062,24.958267211914062,Transformer,35.19171142578125
87,116.0,125.0,116.74813,119.25319,117.50398,118.03845252990723,9.0,9.0,0.7481308,0.7481308,3.253189,3.253189,1.5039825,1.5039825,2.0384525299072322,2.0384525299072322,LSTM,8.251869201660156
88,115.0,108.13304,117.03598,111.22179,107.05394,113.62978134155273,-6.8669586,6.8669586,2.0359802,2.0359802,-3.7782135,3.7782135,-7.94606,7.94606,-1.3702186584472713,1.3702186584472713,Ensemble,9.982040405273438
89,125.0,105.43601,118.114395,113.24616,116.40489,115.59480361938476,-19.563988,19.563988,-6.885605,6.885605,-11.753838,11.753838,-8.595108,8.595108,-9.405196380615237,9.405196380615237,LSTM,12.678382873535156
90,28.0,29.973587,33.928802,24.477121,32.44015,29.128529357910157,1.973587,1.973587,5.9288025,5.9288025,-3.5228786,3.5228786,4.440151,4.440151,1.128529357910157,1.128529357910157,Ensemble,9.451681137084961
91,38.0,52.089314,31.276619,27.78471,20.041887,28.96892786026001,14.0893135,14.0893135,-6.723381,6.723381,-10.21529,10.21529,-17.958113,17.958113,-9.03107213973999,9.03107213973999,LSTM,32.04742622375488
92,20.0,36.546227,28.754684,21.210155,21.496962,24.619533824920655,16.546227,16.546227,8.754684,8.754684,1.2101555,1.2101555,1.4969616,1.4969616,4.619533824920655,4.619533824920655,GRU,15.336071014404297
93,85.0,64.06754,54.78825,43.344982,39.87359,48.32088298797608,-20.932457,20.932457,-30.21175,30.21175,-41.655018,41.655018,-45.12641,45.12641,-36.67911701202392,36.67911701202392,Ridge,24.193954467773438
94,55.0,72.33947,74.020164,67.42641,90.12099,71.52832679748536,17.33947,17.33947,19.020164,19.020164,12.426407,12.426407,35.120987,35.120987,16.528326797485363,16.528326797485363,GRU,22.694580078125
95,125.0,105.65919,105.64546,101.512535,113.83432,103.98844146728516,-19.340813,19.340813,-19.354538,19.354538,-23.487465,23.487465,-11.16568,11.16568,-21.011558532714844,21.011558532714844,Transformer,12.321784973144531
96,125.0,103.31112,113.76686,114.98872,115.87456,114.4831771850586,-21.68888,21.68888,-11.233139,11.233139,-10.011276,10.011276,-9.1254425,9.1254425,-10.516822814941406,10.516822814941406,Transformer,12.563438415527344
97,82.0,98.040405,78.725296,82.13143,92.665344,81.1253662109375,16.040405,16.040405,-3.274704,3.274704,0.13143158,0.13143158,10.665344,10.665344,-0.8746337890625,0.8746337890625,GRU,19.315109252929688
98,59.0,77.70619,69.06576,62.906403,75.64386,66.31498527526855,18.706192,18.706192,10.065758,10.065758,3.9064026,3.9064026,16.64386,16.64386,7.314985275268555,7.314985275268555,GRU,14.799789428710938
99,117.0,105.18067,117.50951,120.47765,122.17736,119.22697257995605,-11.819328,11.819328,0.5095062,0.5095062,3.4776535,3.4776535,5.1773605,5.1773605,2.2269725799560547,2.2269725799560547,LSTM,16.996688842773438
100,20.0,16.50962,24.603586,23.276848,22.705383,23.845306873321533,-3.4903793,3.4903793,4.603586,4.603586,3.2768478,3.2768478,2.7053833,2.7053833,3.845306873321533,3.845306873321533,Transformer,8.093965530395508
